batter,total_dismissals,balls_faced,dismissal_rate,avg_dots_faced,dismissal_rate_pct
A Aikenhead,12,285,0.042105263157894736,0.6385964912280702,4.2105263157894735
A Aitken-Drummond,12,207,0.057971014492753624,0.7391304347826086,5.797101449275362
A Akhigbe,6,125,0.048,0.96,4.8
A Argyropoulou,16,388,0.041237113402061855,0.7216494845360825,4.123711340206185
A Ashish Reddy,13,196,0.0663265306122449,0.2755102040816326,6.63265306122449
A Ashokan,14,525,0.02666666666666667,0.4838095238095238,2.666666666666667
A Athanaze,13,263,0.049429657794676805,0.6197718631178707,4.942965779467681
A Augastin,8,166,0.04819277108433735,0.6204819277108434,4.819277108433735
A Badoni,32,740,0.043243243243243246,0.3256756756756757,4.324324324324325
A Bagai,2,157,0.012738853503184714,0.3375796178343949,1.2738853503184715
A Balbirnie,81,1682,0.048156956004756245,0.5422116527942925,4.815695600475625
A Beresford-Peirse,7,128,0.0546875,1.0,5.46875
A Bierwisch,10,310,0.03225806451612903,1.0516129032258064,3.225806451612903
A Bosch,31,845,0.036686390532544376,0.5857988165680473,3.6686390532544375
A Brindle,8,266,0.03007518796992481,0.38345864661654133,3.007518796992481
A Capsey,31,655,0.04732824427480916,0.5709923664122137,4.732824427480916
A Chandel,19,569,0.033391915641476276,0.7504393673110721,3.3391915641476277
A Chilia,9,232,0.03879310344827586,0.9051724137931034,3.8793103448275863
A Davidson Soler,5,130,0.038461538461538464,0.2923076923076923,3.8461538461538463
A Davidson-Soler,5,155,0.03225806451612903,0.567741935483871,3.225806451612903
A Dercksen,11,189,0.0582010582010582,0.5185185185185185,5.82010582010582
A Dirannehelage,3,255,0.011764705882352941,0.48627450980392156,1.1764705882352942
A Dizija,23,559,0.04114490161001789,0.6905187835420393,4.114490161001789
A Doddaballapur,14,486,0.02880658436213992,0.7757201646090535,2.880658436213992
A Donovan,7,226,0.030973451327433628,0.3495575221238938,3.0973451327433628
A Dutt,5,117,0.042735042735042736,0.42735042735042733,4.273504273504273
A Ferguson,12,478,0.02510460251046025,0.7217573221757322,2.510460251046025
A Flintoff,10,180,0.05555555555555555,0.3055555555555556,5.555555555555555
A Fujikawa,3,109,0.027522935779816515,0.8256880733944955,2.7522935779816518
A Galan,14,163,0.08588957055214724,1.3742331288343559,8.588957055214724
A Gardner,53,1137,0.04661389621811785,0.544415127528584,4.661389621811785
A Gbla,19,322,0.059006211180124224,0.5341614906832298,5.900621118012422
A Halbhavi,14,204,0.06862745098039216,0.5441176470588235,6.862745098039216
A Hartley,5,215,0.023255813953488372,0.5488372093023256,2.3255813953488373
A Hunter,42,1286,0.03265940902021773,0.5217729393468118,3.265940902021773
A Igbobie,3,121,0.024793388429752067,1.2396694214876034,2.479338842975207
